Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,19,75.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,20,104.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,21,113.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,22,83.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,23,70.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,0,56.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,1,46.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,2,45.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,3,56.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,4,78,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,5,46.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,6,29.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,7,20,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,8,22.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,9,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,10,29,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,11,28.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,12,28,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,13,28.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,14,40.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,15,39.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,16,49.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,17,55.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,18,51,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,19,52.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,20,56,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,21,55.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,22,48.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/14/2015,2015,12,14,23,44.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,0,52.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,1,47.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,2,44.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,3,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,4,44.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,5,41,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,6,43.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,7,58,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,8,58.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,9,53,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,10,55.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,11,43.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,12,39.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,13,36.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,14,40.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,15,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,16,28,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,17,30.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,18,40.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,19,36.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,20,32.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,21,38,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,22,37.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/15/2015,2015,12,15,23,33.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,0,25.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,1,29,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,2,28.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,3,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,4,27.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,5,24,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,6,25,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,7,25,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,8,26.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,9,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,10,38.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,11,37.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,12,36.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,13,42.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,14,36.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,15,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,16,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,17,37,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,18,38.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,19,41.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,20,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,21,35.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,22,31.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/16/2015,2015,12,16,23,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,0,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,1,38.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,2,34,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,3,34.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,4,29.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,5,32.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,6,30,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,7,30.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,8,29.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,9,32.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,10,31.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,11,29.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,12,31.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,13,30.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,14,34,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,15,33.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,16,32.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,17,31.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,18,37.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,19,43.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,20,47.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,21,58,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,22,60.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/17/2015,2015,12,17,23,74.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,0,82.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,1,70.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,2,64.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,3,58,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,4,60.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,5,89.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,6,104.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,7,116.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,8,86.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,9,80.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,10,68.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,11,63.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,12,59.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,13,69.9,UG/M3,1 Hr,Valid
